Rotulo,Direccion,CodPostal,CCAA,Provincia,Municipio,Localidad,Longitud,Latitud,FechaPvp,HoraPvp,Horario
EASYGAS,CARRETERA GI-636 KM. 13,20280,Pa#s Vasco,GIPUZKOA,Hondarribia,HONDARRIBIA,-1.806944,43.347167,12/09/2025,12:37,L-D: 06:00-22:00
REPSOL,CARRETERA N-1 KM. 3644,1192,Pa#s Vasco,ARABA/#LAVA,Elburgo/Burgelu,ELBURGO/BURGELU,-2.518167,42.878556,19/09/2025,19:00,L-D: 06:00-22:00
PETRONOR,CARRETERA GI-2630 KM. 179,20560,Pa#s Vasco,GIPUZKOA,O#ati,O#ATI,-2.420639,43.039917,19/09/2025,00:00,L-D: 06:00-22:00
BIDASOIL,CARRETERA N-121 A KM. 764,20305,Pa#s Vasco,GIPUZKOA,Irun,IRUN,-1.752694,43.335806,15/09/2025,11:01,L-V: 06:00-22:00  S-D: 07:00-22:00
REPSOL,AVENIDA SAN PEDRO 3,20017,Pa#s Vasco,GIPUZKOA,Donostia-San Sebasti#n,DONOSTIA-SAN SEBASTIAN,-1.943667,43.321667,19/09/2025,00:00,L-D: 06:30-22:30
PETRONOR,AU AP-68 36,1139,Pa#s Vasco,ARABA/#LAVA,Zuia,ALTUBE,-2.870083,42.966111,19/09/2025,19:00,L-D: 06:00-23:00
REPSOL,AU AP-68 36,1139,Pa#s Vasco,ARABA/#LAVA,Zuia,ALTUBE,-2.873583,42.966472,19/09/2025,19:00,L-D: 06:00-23:00
PETRONOR,AU AP-68 63  D,1213,Pa#s Vasco,ARABA/#LAVA,Ribera Baja/Erribera Beitia,IGAY,-2.913306,42.743111,19/09/2025,19:00,L-D: 24H
PETRONOR,AU AP-68 635,1213,Pa#s Vasco,ARABA/#LAVA,Ribera Baja/Erribera Beitia,IGAY,-2.913222,42.741361,19/09/2025,20:00,L-D: 24H
CEPSA,AUTOVIA A-1 KM. 454600,20160,Pa#s Vasco,GIPUZKOA,Donostia-San Sebasti#n,ZUBIETA,-2.02525,43.247361,19/09/2025,19:00,L-D: 24H
PETRONOR,CR GI-2132 04,20120,Pa#s Vasco,GIPUZKOA,Hernani,HERNANI,-2.000944,43.277667,19/09/2025,00:00,L-V: 06:00-22:00
PETRONOR,CR  GI-2132 P.K. 04 M.I.,20120,Pa#s Vasco,GIPUZKOA,Hernani,HERNANI,-2.001361,43.278056,19/09/2025,00:00,L-D: 06:00-22:00
PETRONOR,CARRETERA CTRA.VITORIA-ESTELLA KM. 38,1110,Pa#s Vasco,ARABA/#LAVA,Campezo/Kanpezu,SANTA CRUZ CAMPEZO,-2.357278,42.670222,15/09/2025,13:46,L-V: 06:00-22:00  S: 06:30-22:00  D: 13:30-22:00
REPSOL,CALLE DEBA 21,20870,Pa#s Vasco,GIPUZKOA,Elgoibar,ELGOIBAR,-2.40875,43.219167,15/09/2025,12:09,L-D: 06:00-22:00
REPSOL,CALLE COMETE SAREA 1,20305,Pa#s Vasco,GIPUZKOA,Irun,IRUN,-1.753694,43.338528,19/09/2025,06:00,L-D: 24H
REPSOL,CALLE GIPUZKOA 59,20800,Pa#s Vasco,GIPUZKOA,Zarautz,ZARAUTZ,-2.158833,43.284944,19/09/2025,00:00,L-D: 24H
CEPSA,N-622 km 203,1130,Pa#s Vasco,ARABA/#LAVA,Zuia,MURGIA,-2.827722,42.961583,17/09/2025,14:12,L-V: 06:00-22:00  S: 07:00-22:00  D: 08:00-22:00
REPSOL,CARRETERA NACIONAL 1 KM. 445,20150,Pa#s Vasco,GIPUZKOA,Villabona,VILLABONA,-2.055778,43.178611,19/09/2025,00:00,L-D: 24H
REPSOL,PASEO ENDARLAZA S/N,20305,Pa#s Vasco,GIPUZKOA,Irun,IRUN,-1.760472,43.342111,19/09/2025,06:00,L-D: 24H
MOEVE,AVENIDA ELIZATXO (N-I KM 4805) 64,20305,Pa#s Vasco,GIPUZKOA,Irun,IRUN,-1.827139,43.328889,19/09/2025,00:00,L-D: 24H
MOEVE,AVENIDA ELIZATXO (N-I KM 4805) 64,20305,Pa#s Vasco,GIPUZKOA,Irun,IRUN,-1.827556,43.329333,19/09/2025,00:00,L-D: 24H
REPSOL,CARRETERA N-1 KM. 4691,20180,Pa#s Vasco,GIPUZKOA,Oiartzun,OIARTZUN,-1.879444,43.312222,19/09/2025,00:00,L-V: 06:00-22:00  S: 09:00-21:00
REPSOL,CR N-1 4691,20180,Pa#s Vasco,GIPUZKOA,Oiartzun,OIARTZUN,-1.879528,43.312139,19/09/2025,19:00,L-D: 06:00-22:00
REPSOL,CALLE AMILLAGA 17,20570,Pa#s Vasco,GIPUZKOA,Bergara,BERGARA,-2.423889,43.125833,19/09/2025,15:00,L-D: 06:00-22:00
REPSOL,CALLE PORTAL DE CASTILLA 32,1008,Pa#s Vasco,ARABA/#LAVA,Vitoria-Gasteiz,VITORIA-GASTEIZ,-2.682278,42.842833,19/09/2025,19:00,L-D: 06:30-22:30
REPSOL,AVENIDA IPARRALDE 42,20304,Pa#s Vasco,GIPUZKOA,Irun,IRUN,-1.787028,43.347278,19/09/2025,19:00,L-D: 24H
REPSOL,CL AVENIDA DE IPARRALDE  43,20304,Pa#s Vasco,GIPUZKOA,Irun,IRUN,-1.787361,43.347222,19/09/2025,19:00,L-D: 06:00-22:00
PETRONOR,CL AVENIDA HUETOS 81,1195,Pa#s Vasco,ARABA/#LAVA,Vitoria-Gasteiz,VITORIA-GASTEIZ,-2.721583,42.857472,19/09/2025,00:00,L-D: 06:00-23:00
PETRONOR,CL AVENIDA DE LTXUMBORRO S.N.,20305,Pa#s Vasco,GIPUZKOA,Irun,IRUN,-1.817028,43.333889,19/09/2025,19:00,L-D: 06:00-22:00
REPSOL,CR N-1 4325,20400,Pa#s Vasco,GIPUZKOA,Tolosa,TOLOSA,-2.0925,43.116917,19/09/2025,12:00,L-D: 24H
REPSOL,CR GI-632  BEASAIN-DURANGO 17,20200,Pa#s Vasco,GIPUZKOA,Beasain,BEASAIN,-2.227278,43.048222,19/09/2025,19:00,L-V: 06:00-22:00  S-D: 08:00-21:00
REPSOL,CARRETERA NACIONAL 1 KM. 425,20250,Pa#s Vasco,GIPUZKOA,Legorreta,LEGORRETA,-2.156194,43.078861,19/09/2025,00:00,L-D: 24H
REPSOL,AV AVENIDA DEL CANTABRICO8 -(PG PO,1013,Pa#s Vasco,ARABA/#LAVA,Vitoria-Gasteiz,VITORIA-GASTEIZ,-2.660222,42.864667,19/09/2025,20:00,L-D: 06:30-22:30
REPSOL,CL PORTAL DE ELORRIAGA17,1002,Pa#s Vasco,ARABA/#LAVA,Vitoria-Gasteiz,VITORIA-GASTEIZ,-2.648306,42.849778,19/09/2025,00:00,L-S: 06:00-22:00  D: 07:00-22:00
REPSOL,CL DE ZARAUTZ  136,20018,Pa#s Vasco,GIPUZKOA,Donostia-San Sebasti#n,DONOSTIA-SAN SEBASTIAN,-2.002528,43.301083,19/09/2025,20:00,L-D: 06:00-22:00
REPSOL,CR  N-1 P.K. 419,20200,Pa#s Vasco,GIPUZKOA,Beasain,BEASAIN,-2.194806,43.045278,19/09/2025,07:34,L-D: 24H
MOEVE,AUTOPISTA AP-8 (MRG.IZDO.) KM. 83,20180,Pa#s Vasco,GIPUZKOA,Oiartzun,OIARTZUN,-1.852222,43.316611,19/09/2025,00:00,L-D: 24H
MOEVE,AUTOPISTA AP-8 (MRG.DCHO.) KM. 83,20180,Pa#s Vasco,GIPUZKOA,Oiartzun,OIARTZUN,-1.844528,43.317611,19/09/2025,00:00,L-D: 24H
ALCAMPO IRUN,PARQUE COMERCIAL TXINGUDI ZONA ARASO.B. VENTAS 80,20305,Pa#s Vasco,GIPUZKOA,Irun,IRUN,-1.834722,43.322583,15/09/2025,10:40,L-D: 06:00-00:00
E.S. TOCALU ,ACCESO A2622 0,1420,Pa#s Vasco,ARABA/#LAVA,Ribera Alta,POBES,-2.901944,42.81125,17/09/2025,14:13,L-D: 07:00-22:00
AVIA,CR. BI-100 km 257,48130,Pa#s Vasco,BIZKAIA,Bakio,BASIGO,-2.814667,43.411583,19/09/2025,12:45,L-V: 07:00-22:00  S-D: 08:00-22:00
EROSKI,AVENIDA IPARRAGUIRRE 110,48940,Pa#s Vasco,BIZKAIA,Leioa,LEIOA,-2.973194,43.317694,19/09/2025,08:04,L-S: 08:00-22:30  D: 09:00-22:30
EROSKI,POLIGONO ZABALANDI AUZOA 20,48970,Pa#s Vasco,BIZKAIA,Basauri,ARIZGOITI,-2.875889,43.2275,19/09/2025,08:04,L-D: 24H
EROSKI,BARRIO PERURI 38,48940,Pa#s Vasco,BIZKAIA,Leioa,LEIOA,-2.994389,43.340389,19/09/2025,08:04,L-D: 24H
EROSKI,BARRIO EL BAULAR 17,48860,Pa#s Vasco,BIZKAIA,Zalla,ZALLA,-3.124889,43.209889,19/09/2025,08:04,L-S: 07:30-21:30
EROSKI,BARRIO MURUETA S/N,48220,Pa#s Vasco,BIZKAIA,Abadi#o,ABADI#O-ZELAIETA,-2.618111,43.171889,19/09/2025,08:04,L-D: 24H
EROSKI,CALLE KAREAGA 40,48903,Pa#s Vasco,BIZKAIA,Barakaldo,SAN VICENTE DE BARAKALDO,-3.004194,43.287194,19/09/2025,08:04,L-D: 24H
MOEVE,CARRETERA N-634 KM. 764,48240,Pa#s Vasco,BIZKAIA,Berriz,BERRIZ-OLAKUETA,-2.58525,43.166722,18/09/2025,06:30,L-D: 06:30-21:30
MOEVE,BARRIO EL BAULAR 11,48860,Pa#s Vasco,BIZKAIA,Zalla,ZALLA,-3.126639,43.212361,18/09/2025,06:00,L-D: 06:00-22:00
ALCAMPO,CARRETERA ELORRIO KM. S/N,48200,Pa#s Vasco,BIZKAIA,Durango,DURANGO,-2.620333,43.164944,15/09/2025,06:56,L-S: 06:00-22:20  D: 08:00-22:00
URKIOIL,BI-623 km 31,48213,Pa#s Vasco,BIZKAIA,Izurtza,IZURZA,-2.644972,43.145611,16/09/2025,09:13,L-D: 06:00-22:00
AVIA,POLIGONO GOITONDO S/N,48269,Pa#s Vasco,BIZKAIA,Mallabia,MALLABIA,-2.519028,43.193861,18/09/2025,11:34,L-S: 07:00-22:00  D: 08:00-22:00
GALP,CARRETERA BILBAO-SANTANDER KM. 120,48903,Pa#s Vasco,BIZKAIA,Barakaldo,SAN VICENTE DE BARAKALDO,-3.010167,43.288694,19/09/2025,18:00,L-D: 06:00-22:00
BP VALLE DEL TRAPAGA,CARRETERA N-634 KM. S/N,48510,Pa#s Vasco,BIZKAIA,Valle de Tr#paga-Trapagaran,VALLE DE TRAPAGA,-3.01775,43.292806,19/09/2025,00:00,L-D: 06:00-22:00
CEPSA,CALLE JUAN DE GARAY 9,48003,Pa#s Vasco,BIZKAIA,Bilbao,BILBAO,-2.932972,43.255917,19/09/2025,00:00,L-V: 08:30-16:00
CEPSA,BARRIO IBARRETA SN,48970,Pa#s Vasco,BIZKAIA,Basauri,ARIZGOITI,-2.886417,43.231333,15/09/2025,05:50,L-V: 06:00-15:00  S: 06:00-09:00
REPSOL,CR BI-631 20,48120,Pa#s Vasco,BIZKAIA,Mungia,LARRAURI,-2.805417,43.370667,19/09/2025,00:00,L-D: 08:00-22:00
BP BILBAO - STO DOMINGO MD,CARRETERA BI-631 BILBAO-BERMEO KM. 11,48015,Pa#s Vasco,BIZKAIA,Bilbao,BILBAO,-2.903778,43.27225,19/09/2025,00:00,L-D: 24H
BP BENGOECHEA,CR BI-2522 38,48410,Pa#s Vasco,BIZKAIA,Orozko,OROZKO,-2.912639,43.120944,19/09/2025,00:00,L-D: 07:00-23:00
REPSOL,CARRETERA BI-3737 KM. S/N,48993,Pa#s Vasco,BIZKAIA,Getxo,ANDRA MARI,-3.005278,43.360917,19/09/2025,14:06,L-D: 06:00-22:00
REPSOL,CARRETERA BI-3737 KM. S/N,48993,Pa#s Vasco,BIZKAIA,Getxo,ANDRA MARI,-3.006167,43.361056,19/09/2025,14:07,L-J: 06:00-00:00  V-S: 06:00-01:00  D: 06:00-00:00
REPSOL,CARRETERA BI-635 KM. 20,48340,Pa#s Vasco,BIZKAIA,Amorebieta-Etxano,AMOREBIETA,-2.729444,43.22925,19/09/2025,00:00,L-V: 06:30-20:00  S: 08:00-15:00
REPSOL,CARRETERA BI-635 KM. 20,48340,Pa#s Vasco,BIZKAIA,Amorebieta-Etxano,AMOREBIETA,-2.729861,43.229472,19/09/2025,00:00,L-V: 06:00-20:30  S: 08:00-14:00
PETRONOR,CARRETERA BI-3704 KM. 57,48180,Pa#s Vasco,BIZKAIA,Loiu,ELOTXELERRI,-2.943556,43.307861,19/09/2025,19:00,L-D: 06:00-22:00
PETRONOR,CARRETERA BI-3704 ASUA-LOIU KM. 57,48950,Pa#s Vasco,BIZKAIA,Erandio,ERANDIO-GOIKOA,-2.944833,43.307528,19/09/2025,20:00,L-V: 07:00-22:00  S-D: 08:00-22:00
PETRONOR,CR BI-631 32,48370,Pa#s Vasco,BIZKAIA,Bermeo,BERMEO,-2.736361,43.419889,19/09/2025,19:00,L-D: 06:00-22:00
REPSOL,CR BI-635 485,48360,Pa#s Vasco,BIZKAIA,Mundaka,MUNDAKA,-2.702944,43.412306,19/09/2025,14:00,L-D: 06:00-22:00
PETRONOR,CL MUNGUIA BI-3121 242,48610,Pa#s Vasco,BIZKAIA,Urduliz,URDULIZ,-2.930028,43.366194,19/09/2025,00:00,L-S: 07:00-22:00  D: 08:00-22:00
REPSOL,CR N-634 817,48215,Pa#s Vasco,BIZKAIA,Iurreta,IURRETA,-2.641389,43.175167,19/09/2025,20:00,L-D: 06:00-22:00
CEPSA,AVENIDA MIRAFLORES 12,48004,Pa#s Vasco,BIZKAIA,Bilbao,BILBAO,-2.911389,43.246694,19/09/2025,17:00,L-D: 06:00-22:00
PETRONOR,CL GRUPO LA PAZ 1 (BI-3739 km 47),48910,Pa#s Vasco,BIZKAIA,Sestao,SESTAO,-3.0105,43.313194,19/09/2025,00:00,L-D: 07:00-20:30
PETRONOR,CARRETERA BI-631 KM. 10,48160,Pa#s Vasco,BIZKAIA,Derio,DERIO,-2.876444,43.318583,19/09/2025,16:00,L-D: 06:00-22:00
PETRONOR,CARRETERA MUNGIA-PLENTZIA KM. 18,48100,Pa#s Vasco,BIZKAIA,Mungia,BILLELA,-2.864861,43.37725,19/09/2025,00:00,L-V: 06:00-22:00  S-D: 07:00-22:00
PETRONOR,CR BI-633 BERRIZ-ONDARROA 459,48270,Pa#s Vasco,BIZKAIA,Markina-Xemein,MARKINA-XEMEIN,-2.523694,43.259611,19/09/2025,19:00,L-V: 06:00-22:00  S-D: 07:00-22:00
REPSOL,CARRETERA N-634 KM. 991,48960,Pa#s Vasco,BIZKAIA,Galdakao,ERLECHES,-2.803833,43.236056,19/09/2025,00:00,L-V: 07:00-21:30  S: 08:00-20:00  D: 09:00-15:00
MOEVE,PLAZA REGOLLO S/N,48990,Pa#s Vasco,BIZKAIA,Getxo,ALGORTA,-2.99475,43.340389,18/09/2025,07:00,L-D: 00:00-23:59
PETRONOR,CL APERRIBAY 15,48960,Pa#s Vasco,BIZKAIA,Galdakao,USANSOLO,-2.873056,43.240111,19/09/2025,00:00,L-V: 06:30-21:30  S-D: 08:00-21:30
REPSOL,CARRETERA BI-3745 KM. 92,48910,Pa#s Vasco,BIZKAIA,Sestao,SESTAO,-3.00275,43.298889,19/09/2025,19:00,L-D: 06:00-22:00
REPSOL,CARRETERA BI-3745 KM. 92,48910,Pa#s Vasco,BIZKAIA,Sestao,SESTAO,-3.003167,43.298528,19/09/2025,20:00,L-D: 24H
PETRONOR,CR A-8  BILBAO BEHOBIA P.K. 997,48340,Pa#s Vasco,BIZKAIA,Amorebieta-Etxano,AMOREBIETA,-2.756306,43.231556,19/09/2025,20:00,L-D: 24H
PETRONOR,CR A-8 BILBAO-BEHOBIA P.K. 100,48340,Pa#s Vasco,BIZKAIA,Amorebieta-Etxano,AMOREBIETA,-2.754028,43.230083,19/09/2025,10:00,L-D: 24H
CEPSA,RAMON Y CAJAL S/N,48920,Pa#s Vasco,BIZKAIA,Portugalete,PORTUGALETE,-3.021278,43.315389,17/09/2025,10:49,L-D: 07:00-22:00
REPSOL,CARRETERA BOLUETA-ARRIGORRIAGA KM. 6,48970,Pa#s Vasco,BIZKAIA,Basauri,ARIZGOITI,-2.889111,43.226306,19/09/2025,19:00,L-D: 06:00-22:00
PETRONOR,AUTOPISTA AP-68 KM. 6,48490,Pa#s Vasco,BIZKAIA,Ugao-Miraballes,UGAO-MIRABALLES,-2.894444,43.18975,19/09/2025,20:00,L-D: 24H
PETRONOR,AU AP-68 6,48480,Pa#s Vasco,BIZKAIA,Arrigorriaga,ARRIGORRIAGA,-2.897389,43.190194,19/09/2025,19:00,L-D: 24H
REPSOL,CARRETERA ASUA-PLENTZIA KM. 23,48620,Pa#s Vasco,BIZKAIA,Plentzia,PLENTZIA,-2.943917,43.390333,19/09/2025,00:00,L-V: 06:00-22:00  S-D: 07:00-22:00
REPSOL,CALLE MUNOA SN,48903,Pa#s Vasco,BIZKAIA,Barakaldo,SAN VICENTE DE BARAKALDO,-2.978861,43.280083,19/09/2025,00:00,L-D: 06:00-22:00
REPSOL,AVENIDA IPARRAGUIRRE 21,48940,Pa#s Vasco,BIZKAIA,Leioa,LEIOA,-2.976194,43.320444,18/09/2025,00:01,L-D: 24H
REPSOL,AVENIDA IPARRAGUIRRE 108,48940,Pa#s Vasco,BIZKAIA,Leioa,LEIOA,-2.97575,43.319444,18/09/2025,00:01,L-D: 24H
PETRONOR,CR N-634 115,48013,Pa#s Vasco,BIZKAIA,Bilbao,BILBAO,-2.961389,43.265278,19/09/2025,20:00,L-V: 06:30-22:30  S-D: 07:30-22:30
MOEVE,BARRIO SAN FAUSTO 2,48230,Pa#s Vasco,BIZKAIA,Elorrio,ELORRIO,-2.548889,43.130583,16/09/2025,01:01,L-D: 07:00-21:00
GALP,CARRETERA BI-PL KM. 20,48600,Pa#s Vasco,BIZKAIA,Sopelana,MOREAGA,-2.987361,43.382583,19/09/2025,20:00,L-V: 06:00-22:00  S-D: 07:00-22:00
GALP,CARRETERA BI-PL KM. 20,48600,Pa#s Vasco,BIZKAIA,Sopelana,MOREAGA,-2.988472,43.382222,19/09/2025,19:00,L-V: 06:00-22:00  S-D: 07:00-22:00
SHELL,CTRA.LUTXANA-AS#A 36 km CENTRO COMERCIAL M,48950,Pa#s Vasco,BIZKAIA,Erandio,ERANDIO-GOIKOA,-2.952833,43.303333,19/09/2025,15:00,L-S: 07:30-21:30
PETRONOR,CL AMBASAGUAS 7,48991,Pa#s Vasco,BIZKAIA,Karrantza Harana/Valle de Carranza,CARRANZA,-3.355694,43.238139,15/09/2025,00:00,L-D: 08:00-21:00
REPSOL,CR N-634 93,48340,Pa#s Vasco,BIZKAIA,Amorebieta-Etxano,AMOREBIETA,-2.752944,43.228917,19/09/2025,19:00,L-V: 06:00-22:00  S-D: 08:00-22:00
REPSOL,CR N-634 1272,48500,Pa#s Vasco,BIZKAIA,Abanto y Ci#rvana-Abanto Zierbena,ABANTO,-3.068056,43.321861,19/09/2025,00:00,L-D: 06:00-22:00
REPSOL,AVENIDA ALTO DE ENEKURI 5,48015,Pa#s Vasco,BIZKAIA,Bilbao,BILBAO,-2.958444,43.286667,19/09/2025,20:00,L-D: 06:00-22:00
REPSOL,CL RIBERA DE AXPE 19,48950,Pa#s Vasco,BIZKAIA,Erandio,ERANDIO-GOIKOA,-2.984639,43.313056,18/09/2025,00:01,L-V: 06:00-22:00  S-D: 08:00-22:00
REPSOL,CARRETERA N634 KM. 1064,48450,Pa#s Vasco,BIZKAIA,"Etxebarri, Anteiglesia de San Esteban-Etxebarri Doneztebeko ",ETXEBARRI,-2.888444,43.250806,19/09/2025,00:00,L-V: 06:00-21:00  S: 07:00-21:00
REPSOL,CARRETERA N634 KM. 1064,48450,Pa#s Vasco,BIZKAIA,"Etxebarri, Anteiglesia de San Esteban-Etxebarri Doneztebeko ",ETXEBARRI,-2.889028,43.250667,19/09/2025,00:00,L-V: 05:00-22:45  S: 06:00-22:45  D: 06:00-22:00
REPSOL,CL BARRIO MERCADILLO S.N. (BI-2701 km 09),48190,Pa#s Vasco,BIZKAIA,Sopuerta,SOPUERTA,-3.152944,43.267,19/09/2025,00:00,L-D: 07:00-22:00
PETRONOR,CARRETERA BI-636 KM. 155,48830,Pa#s Vasco,BIZKAIA,G#e#es,SODUPE,-3.047306,43.204333,19/09/2025,00:00,L-D: 06:00-22:00
PETRONOR,CARRETERA B# ATXONDOA KM. 518,48270,Pa#s Vasco,BIZKAIA,Markina-Xemein,MARKINA-XEMEIN,-2.495722,43.280111,17/09/2025,10:06,L-D: 06:00-22:00
PETRONOR,CARRETERA BI-3704 KM. 55,48950,Pa#s Vasco,BIZKAIA,Erandio,ERANDIO-GOIKOA,-2.959889,43.291,19/09/2025,00:00,L-V: 06:00-22:00  S-D: 08:00-22:00
PETRONOR,CARRETERA BI-3704 KM. 55,48950,Pa#s Vasco,BIZKAIA,Erandio,ERANDIO-GOIKOA,-2.960417,43.291222,19/09/2025,00:00,L-V: 06:00-22:00  S-D: 08:00-22:00
PETRONOR,CR BI-636 4,48810,Pa#s Vasco,BIZKAIA,Alonsotegi,ALONSOTEGI,-2.980472,43.246528,12/09/2025,00:00,L-V: 06:00-20:00  S-D: 09:00-20:00
PETRONOR,CL B# EL JUNCAL S.N.,48510,Pa#s Vasco,BIZKAIA,Valle de Tr#paga-Trapagaran,VALLE DE TRAPAGA,-3.0135,43.29725,19/09/2025,00:00,L-V: 06:00-20:00
REPSOL,POLIGONO TXAPORTA S/N,48300,Pa#s Vasco,BIZKAIA,Gernika-Lumo,GERNIKA-LUMO,-2.678222,43.304944,19/09/2025,00:00,L-S: 07:00-21:00  D: 08:00-21:00
PETRONOR,AT A-8 131,48500,Pa#s Vasco,BIZKAIA,Abanto y Ci#rvana-Abanto Zierbena,ABANTO,-3.068806,43.3285,19/09/2025,19:00,L-D: 24H
PETRONOR,AT A-8 131,48500,Pa#s Vasco,BIZKAIA,Abanto y Ci#rvana-Abanto Zierbena,ABANTO,-3.067722,43.327111,19/09/2025,20:00,L-D: 24H
REPSOL,CL DE LA RIBERA  11,48902,Pa#s Vasco,BIZKAIA,Barakaldo,SAN VICENTE DE BARAKALDO,-3.004722,43.292806,19/09/2025,20:00,L-D: 07:00-22:00
CEPSA,POLIGONO EL ARBOL 1,48980,Pa#s Vasco,BIZKAIA,Santurtzi,SANTURTZI,-3.046944,43.319639,19/09/2025,00:00,L-D: 06:00-22:00
AVIA,AVENIDA LEHENDAKARI AGUIRRE 22,48140,Pa#s Vasco,BIZKAIA,Igorre,IGORRE,-2.777556,43.163778,19/09/2025,12:45,L-D: 06:00-22:00
CEPSA,CALLE REYES CATOLICOS 2,1013,Pa#s Vasco,ARABA/#LAVA,Vitoria-Gasteiz,VITORIA-GASTEIZ,-2.672944,42.855,19/09/2025,14:00,L-V: 07:00-21:00  S: 07:00-14:00
(SIN R#TULO),CARRETERA A-132 VITORIA-ESTELLA KM. 23,1120,Pa#s Vasco,ARABA/#LAVA,Arraia-Maeztu,MAEZTU/MAESTU,-2.477917,42.753194,15/09/2025,10:31,L-D: 07:00-23:00
AVIA,BARRIO MIJOA ,20830,Pa#s Vasco,GIPUZKOA,Mutriku,MUTRIKU,-2.411028,43.313833,08/09/2025,10:17,L-D: 07:00-22:00
CEPSA,PASEO DR. BEGIRISTAIN 66,20014,Pa#s Vasco,GIPUZKOA,Donostia-San Sebasti#n,DONOSTIA-SAN SEBASTIAN,-1.966806,43.295972,19/09/2025,20:00,L-D: 00:00-23:59
CEPSA,AVENIDA MEDITERRANEO 7,1010,Pa#s Vasco,ARABA/#LAVA,Vitoria-Gasteiz,VITORIA-GASTEIZ,-2.693722,42.849028,16/09/2025,10:28,L-S: 07:00-22:00  D: 08:00-22:00
AVIA,CALLE LARRAMENDI 28,20400,Pa#s Vasco,GIPUZKOA,Tolosa,TOLOSA,-2.071278,43.145222,08/09/2025,18:55,L-D: 06:00-22:00
REPSOL,VIADUCTO MIRAFLORES LARREAGABURU 1,48003,Pa#s Vasco,BIZKAIA,Bilbao,BILBAO,-2.92425,43.247694,19/09/2025,20:00,L-V: 06:00-22:00  S-D: 08:00-22:00
REPSOL,VIADUCTO MIRAFLORES LARREAGABURU 2,48003,Pa#s Vasco,BIZKAIA,Bilbao,BILBAO,-2.924778,43.248472,19/09/2025,19:00,L-D: 24H
REPSOL,CL ANTXOTXIPI  15,20305,Pa#s Vasco,GIPUZKOA,Irun,IRUN,-1.764556,43.339056,19/09/2025,19:00,L-D: 24H
REPSOL,CL POLIG.IND. BALPARDA EL ARBOL  2,48980,Pa#s Vasco,BIZKAIA,Santurtzi,SANTURTZI,-3.045972,43.319639,19/09/2025,00:00,L-D: 06:00-22:00
N1JUNDIZ,CALLE MENDIGORRITXU 50,1015,Pa#s Vasco,ARABA/#LAVA,Vitoria-Gasteiz,VITORIA-GASTEIZ,-2.747639,42.843111,18/09/2025,00:00,L-D: 24H
BP BILBAO - STO DOMINGO MI,CARRERO BI-631 BILBAO BERMEO 11,48015,Pa#s Vasco,BIZKAIA,Bilbao,BILBAO,-2.903028,43.272611,19/09/2025,00:00,L-D: 06:00-22:00
EROSKI,AVENIDA VEGA DE IBARRA S/N,48920,Pa#s Vasco,BIZKAIA,Portugalete,PORTUGALETE,-3.024278,43.311639,19/09/2025,08:04,L-S: 07:00-21:00  D: 09:00-21:00
CEPSA,BARRIO ARTEAGA 17,48170,Pa#s Vasco,BIZKAIA,Zamudio,ZAMUDIO,-2.852861,43.280111,15/09/2025,10:31,L-D: 24H
GASOLINERA ORTUELLA,POLIGONO GRANADA S/N,48530,Pa#s Vasco,BIZKAIA,Ortuella,ORTUELLA,-3.045,43.305833,19/09/2025,11:20,L-V: 06:00-22:00  S-D: 07:30-22:00
EESS DYNEFF,AVENIDA ALAVA 12,1213,Pa#s Vasco,ARABA/#LAVA,Ribera Baja/Erribera Beitia,RIBABELLOSA,-2.920667,42.692917,16/09/2025,00:01,L-D: 24H
EUROCAM,CALLE TRATADO DE PARIS 6,1230,Pa#s Vasco,ARABA/#LAVA,Iru#a Oka/Iru#a de Oca,NANCLARES DE LA OCA,-2.77225,42.823778,08/09/2025,12:45,L-D: 24H
CEPSA ETXEGARATE,AUTOVIA A-1 KM. 406000,20213,Pa#s Vasco,GIPUZKOA,Idiazabal,IDIAZABAL,-2.228333,42.949306,19/09/2025,00:05,L-D: 24H
URKIOIL,CARRETERA FORAL BI-VI 623 KM. 44,48210,Pa#s Vasco,BIZKAIA,Otxandio,OTXANDIO,-2.661972,43.063139,16/09/2025,09:15,L-D: 06:00-22:00
REPSOL,AUTOPISTA AP-1 KM. 129,20500,Pa#s Vasco,GIPUZKOA,Arrasate/Mondrag#n,ARRASATE/MONDRAGON,-2.476111,43.063333,19/09/2025,19:00,L-D: 24H
REPSOL,AUTOPISTA AP-1 KM. 121500,20540,Pa#s Vasco,GIPUZKOA,Eskoriatza,APOTZAGA,-2.535278,43.016944,19/09/2025,15:00,L-D: 24H
GEXA,CALLE ARA#ABURU 3-D 3,20180,Pa#s Vasco,GIPUZKOA,Oiartzun,OIARTZUN,-1.861306,43.317417,15/09/2025,11:37,L-D: 24H
ONA LOWCOST,AVENIDA AVDA. DE LOS HUETOS 56,1010,Pa#s Vasco,ARABA/#LAVA,Vitoria-Gasteiz,VITORIA-GASTEIZ,-2.716389,42.857194,16/09/2025,11:17,L-D: 06:00-22:00
AVIA  USOA,POLIGONO ZONA COMERCIAL AEROPUERTO LOIU 9,48160,Pa#s Vasco,BIZKAIA,Derio,ALDEKONA (SAN ISIDRO),-2.900389,43.306083,15/09/2025,09:41,L-V: 12:00-14:00
