Rotulo,Direccion,CodPostal,CCAA,Provincia,Municipio,Localidad,Longitud,Latitud,FechaPvp,HoraPvp,Horario
ASUA CARBURANTES ,CALLE ASUA ERREKA 11,20600,Pa#s Vasco,GIPUZKOA,Eibar,EIBAR,-2.463056,43.189028,19/09/2025,15:58,L-D: 24H
PETROPRIX,POLIGONO BENTA ALDEA 4,20270,Pa#s Vasco,GIPUZKOA,Anoeta,ANOETA,-2.069111,43.155306,19/09/2025,18:28,L-D: 24H
SACYTRANS,ANTXOTXIPI N# 17 - ZAISA III,20305,Pa#s Vasco,GIPUZKOA,Irun,IRUN,-1.766167,43.3375,15/09/2025,09:23,L-D: 24H
MLC,CALLE BO. ERGOYEN 21,20130,Pa#s Vasco,GIPUZKOA,Urnieta,URNIETA,-1.998806,43.235528,15/09/2025,00:01,L: 24H
LOW COST EUSKADI,POLIGONO USILA CALLE 1 007,48490,Pa#s Vasco,BIZKAIA,Ugao-Miraballes,BASAKOETXE,-2.901361,43.182833,17/09/2025,12:19,L-D: 10:00-22:00
BQ ENERGIES,POLIGONO IBAIONDO 17,20271,Pa#s Vasco,GIPUZKOA,Irura,IRURA,-2.058306,43.175361,16/09/2025,10:01,L: 24H
PETROPRIX,CALLE ANTXITURRI 1,20570,Pa#s Vasco,GIPUZKOA,Bergara,BERGARA,-2.4225,43.126389,19/09/2025,18:28,L-D: 07:00-22:00
EUSKADI LOW COST,CALLE BO SORAVILLA 998,20140,Pa#s Vasco,GIPUZKOA,Andoain,ANDOAIN,-2.021194,43.218639,17/09/2025,12:19,L-D: 24H
NAFTE,CALLE RETUERTO 42,48903,Pa#s Vasco,BIZKAIA,Barakaldo,SAN VICENTE DE BARAKALDO,-3.00275,43.286667,16/09/2025,11:29,L-D: 24H
AVIA,CARRETERA NACIONAL N-1 (IRUN-MADRID) KM. 417,20212,Pa#s Vasco,GIPUZKOA,Olaberria,OLABERRIA,-2.216667,43.038889,17/09/2025,07:41,L-D: 24H
AVIA,POLIGONO SANSINENEA ERREKA 14,20749,Pa#s Vasco,GIPUZKOA,Zestoa,ARROA-BEKOA,-2.274028,43.273556,15/09/2025,11:11,L-V: 08:30-20:00  S: 09:00-14:00
