Matricula,Modelo,Clasificación Energética, Consumo MIN, Consumo MAX, Emisiones MIN (gCO2/km), Emisiones MAX (gCO2/km), Motorización,kw_minimo,kw_maximo
4828 AAA,Audi A3 Sedan NF 30 TDI 85 kW (116 CV) 6 vel. Advanced MY23,B,4.3,4.7,113.0,123.0,Gasóleo,85.0,85.0
4829 AAA,Audi A3 Sedan NF 30 TDI 85 kW (116 cv) 6 vel. Genuine/S line /Black Line MY21,B,4.4,4.6,115.0,120.0,Gasóleo,85.0,85.0
4830 AAA,Audi A3 Sedan NF 30 TDI 85 kW (116 cv) 6 vel. MY21,A,4.1,4.1,108.0,108.0,Gasóleo,85.0,85.0
4831 AAA,Audi A3 Sedan NF 30 TDI 85 kW (116 CV) 6 vel. S line/ Black line MY23,B,4.5,4.7,118.0,123.0,Gasóleo,85.0,85.0
4832 AAA,Audi A3 Sedan NF 30 TDI 85 kW (116 cv) S tronic 7 vel. Advanced MY22,B,4.7,4.7,124.0,124.0,Gasóleo,85.0,85.0
4833 AAA,Audi A3 Sedan NF 30 TDI 85 kW (116 cv) S tronic 7 vel. Advanced MY23,B,4.7,4.7,124.0,124.0,Gasóleo,85.0,85.0
4834 AAA,Audi A3 Sedan NF 30 TDI 85 kW (116 cv) S tronic 7 vel. S line/Black line MY22,B,4.7,4.7,124.0,124.0,Gasóleo,85.0,85.0
4835 AAA,Audi A3 Sedan NF 30 TDI 85 kW (116 cv) S tronic 7 vel. S line/Black line MY23,B,4.7,4.7,124.0,124.0,Gasóleo,85.0,85.0
4836 AAA,Audi A3 Sedan NF 35 TDI 110 kW (150 CV) 6 vel. Advanced MY23,B,4.2,4.6,110.0,121.0,Gasóleo,110.0,110.0
4837 AAA,Audi A3 Sedan NF 35 TDI 110 kW (150 cv) 6 vel. S line/Black line MY22,B,4.4,4.4,115.0,116.0,Gasóleo,110.0,110.0
4838 AAA,Audi A3 Sedan NF 35 TDI 110 kW (150 cv) 6 vel. S line/Black line MY23,B,4.4,4.4,115.0,116.0,Gasóleo,110.0,110.0
4839 AAA,Audi A3 Sedan NF 35 TDI 110 kW (150 cv) S tronic 7 vel. Advanced MY21,B,4.6,4.6,120.0,122.0,Gasóleo,110.0,110.0
4840 AAA,Audi A3 Sedan NF 35 TDI 110 kW (150 CV) S tronic 7 vel. Advanced MY23,B,4.5,4.9,118.0,129.0,Gasóleo,110.0,110.0
4841 AAA,Audi A3 Sedan NF 35 TDI 110 kW (150 cv) S tronic 7 vel. Genuine/S Line/Black Line MY21,C,4.7,4.9,124.0,127.0,Gasóleo,110.0,110.0
4842 AAA,Audi A3 Sedan NF 35 TDI 110 kW (150 cv) S tronic 7 vel. MY21,B,4.5,4.5,117.0,117.0,Gasóleo,110.0,110.0
4843 AAA,Audi A3 Sedan NF 35 TDI 110 kW (150 CV) S tronic 7 vel. S line/Black line MY23,C,4.7,4.9,123.0,130.0,Gasóleo,110.0,110.0
4844 AAA,Audi A3 Sedan S line 30 TDI 85(116) kW(CV) 6 vel. MY25,B,4.6,4.7,120.0,123.0,Gasóleo,,
4845 AAA,Audi A3 Sedan S line 35 TDI 110(150) kW(CV) S tronic MY25,C,5.0,5.2,130.0,137.0,Gasóleo,,
4846 AAA,Audi A3 SPORTBACK 30 TDI 85 kW (116 CV) 6 vel. Launch edition MY 21,B,4.4,4.5,115.0,119.0,Gasóleo,85.0,85.0
4847 AAA,Audi A3 SPORTBACK 30 TDI 85 kW (116 CV) 6 vel. MY 20,D,5.2,5.7,136.0,150.0,Gasóleo,85.0,85.0
4848 AAA,Audi A3 SPORTBACK 30 TDI 85 kW (116 CV) 6 vel. MY19,D,5.2,5.7,137.0,150.0,Gasóleo,85.0,85.0
4849 AAA,Audi A3 SPORTBACK 30 TDI 85 kW (116 CV) S tronic MY19,D,5.2,5.6,136.0,148.0,Gasóleo,85.0,85.0
4850 AAA,Audi A3 SPORTBACK 35 TDI 110 kW (150 CV) 6 vel. MY 20,D,5.0,5.5,130.0,143.0,Gasóleo,110.0,110.0
4851 AAA,Audi A3 SPORTBACK 35 TDI 110 kW (150 CV) S tronic Launch edition MY 21,C,4.8,4.9,127.0,127.0,Gasóleo,110.0,110.0
4852 AAA,Audi A3 SPORTBACK 35 TDI 110 kW (150 CV) S tronic MY 20,E,5.3,6.0,139.0,156.0,Gasóleo,110.0,110.0
4853 AAA,Audi A3 SPORTBACK 35 TDI 110 kW (150 CV) S tronic MY19,E,5.3,6.0,140.0,157.0,Gasóleo,110.0,110.0
4854 AAA,Audi A3 SPORTBACK Advanced 30 TDI 85(116) kW(CV) 6 vel. MY25,C,4.4,4.8,121.0,127.0,Gasóleo,,
4855 AAA,Audi A3 SPORTBACK Advanced 35 TDI 110(150) kW(CV) S tronic MY25,C,4.8,5.2,125.0,137.0,Gasóleo,,
4856 AAA,Audi A3 SPORTBACK Black line 35 TDI 110(150) kW(CV) S tronic MY25,D,5.2,5.3,136.0,140.0,Gasóleo,,
4857 AAA,Audi A3 SPORTBACK Genuine edition 35 TDI 110(150) kW(CV) S tronic MY25,C,5.1,5.1,133.0,134.0,Gasóleo,,
4858 AAA,Audi A3 SPORTBACK Launch edition 30 TDI 85(116) kW(CV) 6 vel. MY25,C,4.7,4.8,123.0,127.0,Gasóleo,,
4859 AAA,Audi A3 SPORTBACK Launch edition 35 TDI 110(150) kW(CV) S tronic MY25,D,5.1,5.3,133.0,140.0,Gasóleo,,
4860 AAA,Audi A3 Sportback NF 30 TDI 85 kW (116 cv) 6 vel. Advanced MY21,B,4.3,4.6,114.0,120.0,Gasóleo,85.0,85.0
4861 AAA,Audi A3 Sportback NF 30 TDI 85 kW (116 cv) 6 vel. Advanced MY22,B,4.5,4.5,118.0,118.0,Gasóleo,85.0,85.0
4862 AAA,Audi A3 Sportback NF 30 TDI 85 kW (116 cv) 6 vel. Advanced MY23,B,4.5,4.5,118.0,118.0,Gasóleo,85.0,85.0
4863 AAA,Audi A3 Sportback NF 30 TDI 85 kW (116 cv) 6 vel. Genuine / S line / Black Line MY21,C,4.5,4.7,119.0,123.0,Gasóleo,85.0,85.0
4864 AAA,Audi A3 Sportback NF 30 TDI 85 kW (116 cv) 6 vel. MY21,B,4.2,4.4,111.0,115.0,Gasóleo,85.0,85.0
4865 AAA,Audi A3 Sportback NF 30 TDI 85 kW (116 cv) 6 vel. S line/Black line MY22,C,4.6,4.6,121.0,122.0,Gasóleo,85.0,85.0
4866 AAA,Audi A3 Sportback NF 30 TDI 85 kW (116 cv) 6 vel. S line/Black line MY23,C,4.6,4.6,121.0,122.0,Gasóleo,85.0,85.0
4867 AAA,Audi A3 Sportback NF 30 TDI 85 kW (116 CV) S tronic 7 vel. Advanced MY23,C,4.6,5.0,121.0,131.0,Gasóleo,85.0,85.0
4868 AAA,Audi A3 Sportback NF 30 TDI 85 kW (116 CV) S tronic 7 vel. S line/Black line MY23,C,4.8,5.0,126.0,132.0,Gasóleo,85.0,85.0
4869 AAA,Audi A3 Sportback NF 35 TDI 110 kW (150 CV) 6 vel. Advanced MY23,B,4.3,4.7,113.0,123.0,Gasóleo,110.0,110.0
4870 AAA,Audi A3 Sportback NF 35 TDI 110 kW (150 cv) 6 vel. S line/Black line MY22,B,4.5,4.5,119.0,119.0,Gasóleo,110.0,110.0
4871 AAA,Audi A3 Sportback NF 35 TDI 110 kW (150 cv) 6 vel. S line/Black line MY23,B,4.5,4.5,119.0,119.0,Gasóleo,110.0,110.0
4872 AAA,Audi A3 Sportback NF 35 TDI 110 kW (150 cv) S tronic 7 vel. Advanced MY21,C,4.7,4.9,123.0,127.0,Gasóleo,110.0,110.0
4873 AAA,Audi A3 Sportback NF 35 TDI 110 kW (150 CV) S tronic 7 vel. Advanced MY23,C,4.6,5.0,120.0,132.0,Gasóleo,110.0,110.0
4874 AAA,Audi A3 Sportback NF 35 TDI 110 kW (150 cv) S tronic 7 vel. Genuine / S line / Black Line MY21,C,4.8,5.0,126.0,132.0,Gasóleo,110.0,110.0
4875 AAA,Audi A3 Sportback NF 35 TDI 110 kW (150 cv) S tronic 7 vel. MY21,B,4.5,4.6,119.0,120.0,Gasóleo,110.0,110.0
4876 AAA,Audi A3 Sportback NF 35 TDI 110 kW (150 CV) S tronic 7 vel. S line/Black line MY23,C,4.8,5.0,126.0,132.0,Gasóleo,110.0,110.0
4877 AAA,Audi A3 SPORTBACK S line 30 TDI 85(116) kW(CV) 6 vel. MY25,C,4.7,4.8,123.0,127.0,Gasóleo,,
4878 AAA,Audi A3 SPORTBACK S line 35 TDI 110(150) kW(CV) S tronic MY25,D,5.1,5.3,133.0,140.0,Gasóleo,,
4879 AAA,Audi A4 30 TDI 90 kW (122 CV) S tronic MY19,C,5.2,6.0,136.0,157.0,Gasóleo,90.0,90.0
4880 AAA,Audi A4 35 TDI 110 kW (150 CV) S tronic MY19,C,5.3,6.2,140.0,162.0,Gasóleo,110.0,110.0
4881 AAA,Audi A4 40 TDI 140 kW (190 CV) S tronic MY19,C,5.3,6.1,139.0,160.0,Gasóleo,140.0,140.0
4882 AAA,Audi A4 40 TDI quattro 140 kW (190 CV) S tronic MY19,D,5.9,6.5,155.0,170.0,Gasóleo,140.0,140.0
4883 AAA,Audi A4 50 TDI quattro 210 kW (286CV) S tronic MY19,F,6.9,7.6,181.0,199.0,Gasóleo,210.0,210.0
4884 AAA,Audi A4 ALLROAD 40 TDI quattro 140 kW (190 CV) S tronic 7 vel. MY21,E,6.4,6.5,168.0,169.0,Gasóleo,140.0,140.0
4885 AAA,Audi A4 ALLROAD 40 TDI quattro-ultra 150 kW (204 CV) S tronic 7 vel. Allroad MY22,C,5.7,5.8,150.0,153.0,Gasóleo,150.0,150.0
4886 AAA,Audi A4 ALLROAD 40 TDI quattro-ultra 150 kW (204 CV) S tronic 7 vel. Allroad quattro MY23,D,5.9,6.2,154.0,161.0,Gasóleo,150.0,150.0
4887 AAA,Audi A4 ALLROAD 45 TDI quattro 170 kW (231 CV) S tronic 7 vel. MY21,F,7.2,7.3,189.0,190.0,Gasóleo,170.0,170.0
4888 AAA,Audi A4 ALLROAD allroad quattro 40 TDI 150(204) kW(CV) S tronic MY25,D,5.9,6.2,154.0,161.0,Gasóleo,,
4889 AAA,Audi A4 ALLROAD QUATTRO 40 TDI quattro 140 kW (190 CV) S tronic MY 20,E,6.3,6.6,165.0,173.0,Gasóleo,140.0,140.0
4890 AAA,Audi A4 ALLROAD QUATTRO 45 TDI quattro 170 kW (231 CV) tiptronic MY 20,F,7.0,7.5,183.0,195.0,Gasóleo,170.0,170.0
4891 AAA,Audi A4 Avant 30 TDI 100 kW (136 CV) S tronic 7 vel. Advanced MY23,C,4.9,5.7,128.0,149.0,Gasóleo,100.0,100.0
4892 AAA,Audi A4 Avant 30 TDI 100 kW (136 CV) S tronic 7 vel. S line/Black line MY23,C,4.9,5.7,128.0,149.0,Gasóleo,100.0,100.0
4893 AAA,Audi A4 Avant 30 TDI 152 kW (204 CV) S tronic 7 vel. Advanced MY22,B,4.9,4.9,127.0,127.0,Gasóleo,152.0,152.0
4894 AAA,Audi A4 Avant 30 TDI 152 kW (204 CV) S tronic 7 vel. S line/Black line MY22,B,5.0,5.0,130.0,130.0,Gasóleo,152.0,152.0
4895 AAA,Audi A4 Avant 30 TDI 90 kW (122 CV) S tronic MY19,C,5.3,6.2,140.0,162.0,Gasóleo,90.0,90.0
4896 AAA,Audi A4 Avant 35 TDI 120 kW (163 CV) S tronic 7 vel. Advanced MY23,C,5.0,5.7,130.0,149.0,Gasóleo,120.0,120.0
4897 AAA,Audi A4 Avant 35 TDI 120 kW (163 CV) S tronic 7 vel. S line/Black line/ Black limited MY23,C,5.0,5.7,130.0,150.0,Gasóleo,120.0,120.0
4898 AAA,Audi A4 Avant 35 TDI 153 kW (204 CV) S tronic 7 vel. Advanced MY22,B,4.9,4.9,128.0,129.0,Gasóleo,153.0,153.0
4899 AAA,Audi A4 Avant 35 TDI 153 kW (204 CV) S tronic 7 vel. S line/Black line MY22,B,5.0,5.0,131.0,131.0,Gasóleo,153.0,153.0
4900 AAA,Audi A4 Avant 40 TDI 140 kW (190 CV) S tronic MY 20,C,5.2,6.3,138.0,165.0,Gasóleo,140.0,140.0
4901 AAA,Alfa Romeo GIULIETTA 1.6 JTD 120cv B-TECH,E,5.7,5.7,147.0,147.0,Gasóleo,,
4902 AAA,Alfa Romeo GIULIETTA 1.6 JTD 120cv GIULIETTA,E,5.7,5.7,147.0,147.0,Gasóleo,,
4903 AAA,Alfa Romeo GIULIETTA 1.6 JTD 120cv SPORT,E,5.7,5.7,148.0,148.0,Gasóleo,,
4904 AAA,Alfa Romeo GIULIETTA 1.6 JTD 120cv SUPER,E,5.7,5.7,147.0,147.0,Gasóleo,,
4905 AAA,Alfa Romeo GIULIETTA 1.6 JTD 120cv TCT GIULIETTA,E,5.7,5.7,151.0,151.0,Gasóleo,,
4906 AAA,Alfa Romeo GIULIETTA 1.6 JTD 120cv TCT SPORT,E,5.8,5.8,151.0,151.0,Gasóleo,,
4907 AAA,Alfa Romeo GIULIETTA 1.6 JTD 120cv TCT SUPER,E,5.7,5.7,151.0,151.0,Gasóleo,,
4908 AAA,"Alfa Romeo Tonale 1,6 DS 130 CV SPRINT FWD",C,5.9,6.0,147.0,127.0,Gasóleo,,
4909 AAA,"Alfa Romeo Tonale 1,6 DS 130 CV SUPER FWD",C,5.6,6.0,146.0,154.0,Gasóleo,,
4910 AAA,"Alfa Romeo Tonale 1,6 DS 130 CV Ti FWD",C,5.6,6.0,147.0,154.0,Gasóleo,,
4911 AAA,Audi A3 allstreet Advanced 35 TDI 110(150) kW(CV) S tronic MY25,C,5.0,5.2,130.0,136.0,Gasóleo,,
4912 AAA,Audi A3 allstreet Genuine 35 TDI 110(150) kW(CV) S tronic MY25,D,5.1,5.3,134.0,140.0,Gasóleo,,
4913 AAA,Audi A3 allstreet Launch edition 35 TDI 110(150) kW(CV) S tronic MY25,D,5.1,5.3,134.0,140.0,Gasóleo,,
4914 AAA,Audi A3 LIMOUSINE 30 TDI 85 kW (116 CV) 6 vel. MY 20,D,5.1,5.6,133.0,147.0,Gasóleo,85.0,85.0
4915 AAA,Audi A3 LIMOUSINE 35 TDI 110 kW (150 CV) 6 vel. MY 20,C,4.9,5.3,128.0,139.0,Gasóleo,110.0,110.0
4916 AAA,Audi A3 LIMOUSINE 35 TDI 110 kW (150 CV) S tronic MY 20,D,5.2,5.8,137.0,152.0,Gasóleo,110.0,110.0
4917 AAA,Audi A3 Sedan 30 TDI 85 kW (116 CV) 6 vel. MY19,D,5.1,5.6,134.0,147.0,Gasóleo,85.0,85.0
4918 AAA,Audi A3 Sedan 30 TDI 85 kW (116 CV) S tronic MY19,D,5.1,5.5,133.0,145.0,Gasóleo,85.0,85.0
4919 AAA,Audi A3 Sedan 35 TDI 110 kW (150 CV) 6 vel. MY 20,C,5.0,5.2,131.0,137.0,Gasóleo,110.0,110.0
4920 AAA,Audi A3 Sedan 35 TDI 110 kW (150 CV) S tronic Launch edition MY 21,B,4.6,4.8,121.0,125.0,Gasóleo,110.0,110.0
4921 AAA,Audi A3 Sedan 35 TDI 110 kW (150 CV) S tronic MY19,D,5.3,5.8,138.0,153.0,Gasóleo,110.0,110.0
4922 AAA,Audi A3 Sedan Advanced 30 TDI 85(116) kW(CV) 6 vel. MY25,B,4.5,4.7,119.0,123.0,Gasóleo,,
4923 AAA,Audi A3 Sedan Advanced 35 TDI 110(150) kW(CV) S tronic MY25,C,4.7,5.1,124.0,134.0,Gasóleo,,
4924 AAA,Audi A3 Sedan Black line 35 TDI 110(150) kW(CV) S tronic MY25,C,5.1,5.2,133.0,136.0,Gasóleo,,
4925 AAA,Audi A3 Sedan Launch edition 30 TDI 85(116) kW(CV) 6 vel. MY25,B,4.6,4.7,120.0,123.0,Gasóleo,,
4926 AAA,Audi A3 Sedan Launch edition 35 TDI 110(150) kW(CV) S tronic MY25,C,5.0,5.2,130.0,137.0,Gasóleo,,
4927 AAA,Audi A3 Sedan NF 30 TDI 85 kW (116 cv) 6 vel. Advanced MY21,B,4.2,4.4,111.0,116.0,Gasóleo,85.0,85.0
4928 AAA,Audi A3 Sedan NF 30 TDI 85 kW (116 CV) 6 vel. Advanced MY23,B,4.3,4.7,113.0,123.0,Gasóleo,85.0,85.0
4929 AAA,Audi A3 Sedan NF 30 TDI 85 kW (116 cv) 6 vel. Genuine/S line /Black Line MY21,B,4.4,4.6,115.0,120.0,Gasóleo,85.0,85.0
4930 AAA,Audi A3 Sedan NF 30 TDI 85 kW (116 cv) 6 vel. MY21,A,4.1,4.1,108.0,108.0,Gasóleo,85.0,85.0
4931 AAA,Audi A3 Sedan NF 30 TDI 85 kW (116 CV) 6 vel. S line/ Black line MY23,B,4.5,4.7,118.0,123.0,Gasóleo,85.0,85.0
4932 AAA,Audi A3 Sedan NF 30 TDI 85 kW (116 cv) S tronic 7 vel. Advanced MY22,B,4.7,4.7,124.0,124.0,Gasóleo,85.0,85.0
4933 AAA,Audi A3 Sedan NF 30 TDI 85 kW (116 cv) S tronic 7 vel. Advanced MY23,B,4.7,4.7,124.0,124.0,Gasóleo,85.0,85.0
4934 AAA,Audi A3 Sedan NF 30 TDI 85 kW (116 cv) S tronic 7 vel. S line/Black line MY22,B,4.7,4.7,124.0,124.0,Gasóleo,85.0,85.0
4935 AAA,Audi A3 Sedan NF 30 TDI 85 kW (116 cv) S tronic 7 vel. S line/Black line MY23,B,4.7,4.7,124.0,124.0,Gasóleo,85.0,85.0
4936 AAA,Audi A3 Sedan NF 35 TDI 110 kW (150 CV) 6 vel. Advanced MY23,B,4.2,4.6,110.0,121.0,Gasóleo,110.0,110.0
4937 AAA,Audi A3 Sedan NF 35 TDI 110 kW (150 cv) 6 vel. S line/Black line MY22,B,4.4,4.4,115.0,116.0,Gasóleo,110.0,110.0
4938 AAA,Audi A3 Sedan NF 35 TDI 110 kW (150 cv) 6 vel. S line/Black line MY23,B,4.4,4.4,115.0,116.0,Gasóleo,110.0,110.0
4939 AAA,Audi A3 Sedan NF 35 TDI 110 kW (150 cv) S tronic 7 vel. Advanced MY21,B,4.6,4.6,120.0,122.0,Gasóleo,110.0,110.0
4940 AAA,Audi A3 Sedan NF 35 TDI 110 kW (150 CV) S tronic 7 vel. Advanced MY23,B,4.5,4.9,118.0,129.0,Gasóleo,110.0,110.0
4941 AAA,Audi A3 Sedan NF 35 TDI 110 kW (150 cv) S tronic 7 vel. Genuine/S Line/Black Line MY21,C,4.7,4.9,124.0,127.0,Gasóleo,110.0,110.0
