Matricula,Modelo,Clasificación Energética, Consumo MIN, Consumo MAX, Emisiones MIN (gCO2/km), Emisiones MAX (gCO2/km), Motorización,kw_minimo,kw_maximo
7560 AAA,"Opel Insignia ST (MY19.5) INNOVATION 1.6 CDTi Start & Stop TURBO D LVL 136 CV AT6 MY 19,5",C,5.8,6.6,153.0,172.0,Gasóleo,,
7561 AAA,"Opel Insignia ST (MY19.5) INNOVATION 2.0 CDTI Start & Stop TURBO D 4x4 LFS 170 CV 6V MY 19,5",D,6.2,7.0,164.0,184.0,Gasóleo,,
7562 AAA,"Opel Insignia ST (MY19.5) INNOVATION 2.0 CDTI Start & Stop TURBO D LFS 170 CV 6V MY 19,5",C,5.5,6.3,145.0,166.0,Gasóleo,,
7563 AAA,"Opel Insignia ST (MY19.5) INNOVATION 2.0 CDTI Start & Stop TURBO D LFS 170 CV AT8 MY 19,5",D,6.0,6.8,159.0,180.0,Gasóleo,,
7564 AAA,"Opel Insignia ST (MY19.5) SELECTIVE 1.6 CDTi Start & Stop ecoTEC D LXO 110 CV 6V MY 19,5",B,4.9,5.8,130.0,153.0,Gasóleo,,
7565 AAA,"Opel Insignia ST (MY19.5) SELECTIVE 1.6 CDTi Start & Stop TURBO D LVL 136 CV 6V MY 19,5",B,5.2,6.0,137.0,159.0,Gasóleo,,
7566 AAA,"Opel Insignia ST (MY19.5) SELECTIVE PRO 1.6 CDTi Start & Stop ecoTEC D LXO 110 CV 6V MY 19,5",B,4.9,5.8,130.0,153.0,Gasóleo,,
7567 AAA,"Opel Insignia ST (MY19.5) SELECTIVE PRO 1.6 CDTi Start & Stop TURBO D LVL 136 CV 6V MY 19,5",B,5.2,6.0,137.0,159.0,Gasóleo,,
7568 AAA,"Opel Insignia ST (MY19.5) SELECTIVE PRO 1.6 CDTi Start & Stop TURBO D LVL 136 CV AT6 MY 19,5",C,5.8,6.6,153.0,172.0,Gasóleo,,
7569 AAA,"Opel Insignia ST (MY19.5) ULTIMATE 2.0 CDTI BITURBO Start & Stop 4x4 LFO 210 CV AT8 MY 19,5",F,7.2,8.1,189.0,121.0,Gasóleo,,
7570 AAA,"Opel Insignia ST (MY19.5) ULTIMATE 2.0 CDTI Start & Stop TURBO D LFS 170 CV AT8 MY 19,5",D,6.0,6.8,159.0,180.0,Gasóleo,,
7571 AAA,Opel Insignia ST (MY20.0) 120 Aniversario 1.6 CDTi Start & Stop TURBO D LVL 136 CV (100kW) 6V,B,5.1,5.7,135.0,149.0,Gasóleo,100.0,100.0
7572 AAA,Opel Insignia ST (MY20.0) Innovation 1.6 CDTi Start & Stop TURBO D LVL 136 CV (100 kW) 6V,B,5.1,5.7,135.0,149.0,Gasóleo,100.0,100.0
7573 AAA,Opel Insignia ST (MY20.0) Innovation 1.6 CDTi Start & Stop TURBO D LVL 136 CV (100kW) AT6,C,5.6,6.2,148.0,163.0,Gasóleo,100.0,100.0
7574 AAA,Opel Insignia ST (MY20.0) Selective 1.6 CDTi Start & Stop ecoTEC D LXO 110 CV (81kW) 6V,B,5.1,5.4,132.0,142.0,Gasóleo,81.0,81.0
7575 AAA,Opel Insignia ST (MY20.0) Selective 1.6 CDTi Start & Stop TURBO D LVL 136 CV (100kW) 6V,B,5.1,5.7,135.0,149.0,Gasóleo,100.0,100.0
7576 AAA,Opel Insignia ST (MY20.0) Ultimate 2.0 CDTI Start & Stop TURBO D LFS 170 CV (125kW) AT8,D,6.3,6.8,165.0,177.0,Gasóleo,125.0,125.0
7577 AAA,Opel Insignia ST (MY21.0) Business Edition 1.5D DVH AT8 S/S 122 CV (90kW),B,5.1,5.3,133.0,139.0,Gasóleo,90.0,90.0
7578 AAA,Opel Insignia ST (MY21.0) Business Edition 1.5D DVH MT6 S/S 122 CV (90kW),B,4.8,5.1,126.0,133.0,Gasóleo,90.0,90.0
7579 AAA,Opel Insignia ST (MY21.0) Business Elegance 1.5D DVH AT8 S/S 122 CV (90kW),B,5.2,5.6,135.0,146.0,Gasóleo,90.0,90.0
7580 AAA,Opel Insignia ST (MY21.0) Business Elegance 1.5D DVH MT6 S/S 122 CV (90kW),B,4.9,5.4,128.0,141.0,Gasóleo,90.0,90.0
7581 AAA,Opel Insignia ST (MY21.0) Business Elegance 2.0D DVH AT8 S/S 174 CV (130 kW),B,5.1,5.5,134.0,145.0,Gasóleo,130.0,130.0
7582 AAA,Opel Insignia ST (MY21.0) Business Elegance 2.0D DVH MT6 S/S 174 CV (130 kW),B,4.8,5.3,126.0,139.0,Gasóleo,130.0,130.0
7583 AAA,Opel Insignia ST (MY21.0) Edition 1.5D DVH MT6 S/S 122 CV (90kW),A,4.8,5.0,125.0,131.0,Gasóleo,90.0,90.0
7584 AAA,Opel Insignia ST (MY21.0) GS Line 1.5D DVH AT8 S/S 122 CV (90kW),B,5.1,5.4,135.0,141.0,Gasóleo,90.0,90.0
7585 AAA,Opel Insignia ST (MY21.0) GS Line 1.5D DVH MT6 S/S 122 CV (90kW),B,4.9,5.2,128.0,136.0,Gasóleo,90.0,90.0
7586 AAA,Opel Insignia ST (MY21.0) GS Line Plus 2.0D DVH AT8 S/S 174 CV (130 kW),B,5.2,5.2,135.0,137.0,Gasóleo,130.0,130.0
7587 AAA,Opel Mokka (MY21.0) Business Elegance 1.5 D MT6 S/S 110 CV (81KW),C,4.4,4.5,115.0,118.0,Gasóleo,,
7588 AAA,Opel Mokka (MY21.0) Edition 1.5 D MT6 S/S 110 CV (81KW),C,4.4,4.5,114.0,118.0,Gasóleo,,
7589 AAA,Opel Mokka (MY21.0) GS Line 1.5 D MT6 S/S 110 CV (81KW),C,4.4,4.5,115.0,118.0,Gasóleo,,
7590 AAA,Opel Mokka (MY21.0) Ultimate 1.5 D MT6 S/S 110 CV (81KW),C,4.4,4.5,116.0,118.0,Gasóleo,,
7591 AAA,"Opel Mokka (MY22.0) Business elegance 1,5 D 110cv MT6 S/S 110 81Kw",D,4.7,5.6,118.0,118.0,Gasóleo,,
7592 AAA,"Opel Mokka (MY22.0) Edition 1,5 D 110cv MT6 S/S 110 81Kw",D,4.7,5.6,118.0,118.0,Gasóleo,,
7593 AAA,"Opel Mokka (MY22.0) Ultimate 1,5 D 110cv MT6 S/S 110 81Kw",D,4.7,5.6,118.0,118.0,Gasóleo,,
7594 AAA,"Opel Mokka (MY23.0) GS 1,5 D 110cv MT6 S/S",B,4.3,4.9,113.0,129.0,Gasóleo,,
7595 AAA,"Opel Mokka (MY23.0) Ultimate 1,5 D 110cv MT6 S/S",B,4.3,4.9,113.0,129.0,Gasóleo,,
7600 AAA,Opel Movano (MY20.0) Combi 2.3 Turbo Diésel L2 H2 3.300 kg con Start/Stop,B,9.1,10.0,238.0,263.0,Gasóleo,,
7601 AAA,Opel Movano (MY20.0) Combi 2.3 Turbo Diésel L2 H2 3.500 kg con Start/Stop,B,9.1,10.0,238.0,263.0,Gasóleo,,
7626 AAA,Opel Movano (MY20.5) Combi 2.3 Turbo Diésel L2 H2 3.300 kg con Start/Stop,B,9.1,10.0,238.0,263.0,Gasóleo,,
7627 AAA,Opel Movano (MY20.5) Combi 2.3 Turbo Diésel L2 H2 3.500 kg con Start/Stop,B,9.1,10.0,238.0,263.0,Gasóleo,,
7690 AAA,Opel Movano Furgon BASE Reforzada L4H2 4.0T 2.2 BlueHDi 165 DPF STT E6.3 MT6,B,7.0,11.1,185.0,292.0,Gasóleo,,
7742 AAA,Opel Vivaro (MY 21.0) Combi L 1.5 Diesel 120 CV MT6,B,6.3,6.9,165.0,181.0,Gasóleo,,
7743 AAA,Opel Vivaro (MY 21.0) Combi L 2.0 Diesel 145 CV AT8,C,7.1,7.9,185.0,206.0,Gasóleo,,
7744 AAA,Opel Vivaro (MY 21.0) Combi L 2.0 Diesel 145 CV MT6,C,6.9,7.7,180.0,203.0,Gasóleo,,
7745 AAA,Opel Vivaro (MY 21.0) Combi M 1.5 Diesel 120 CV MT6,C,6.3,6.9,165.0,181.0,Gasóleo,,
7746 AAA,Opel Vivaro (MY 21.0) Combi M 2.0 Diesel 145 CV AT8,D,7.1,7.9,185.0,206.0,Gasóleo,,
7747 AAA,Opel Vivaro (MY 21.0) Combi M 2.0 Diesel 145 CV MT6,D,6.9,7.7,180.0,203.0,Gasóleo,,
7748 AAA,Opel Vivaro (MY 21.0) Combi S 1.5 Diesel 120 CV MT6,D,6.3,6.9,165.0,181.0,Gasóleo,,
7749 AAA,Opel Vivaro (MY 21.0) Combi S 2.0 Diesel 145 CV AT8,E,7.1,7.9,185.0,206.0,Gasóleo,,
7809 AAA,Opel Vivaro (MY20.0) L Incrementada 1.200 kg 1.5 Diesel MT6 120 CV,A,6.0,7.0,157.0,185.0,Gasóleo,,
7810 AAA,Opel Vivaro (MY20.0) L Incrementada 1.400 kg 2.0 Diesel MT6 150 CV,B,6.7,7.8,177.0,205.0,Gasóleo,,
7811 AAA,Opel Vivaro (MY20.0) L Sta0ard 1.000 kg 1.5 Diesel MT6 120 CV,A,6.0,7.0,157.0,185.0,Gasóleo,,
7812 AAA,Opel Vivaro (MY20.0) L Sta0ard 1.000 kg 2.0 Diesel MT6 150 CV,B,6.7,7.8,177.0,205.0,Gasóleo,,
7813 AAA,Opel Vivaro (MY20.0) M Incrementada 1.200 kg 1.5 Diesel MT6 100 CV,B,6.1,7.0,160.0,183.0,Gasóleo,,
7814 AAA,Opel Vivaro (MY20.0) M Incrementada 1.200 kg 1.5 Diesel MT6 120 CV,B,6.0,7.0,157.0,185.0,Gasóleo,,
7815 AAA,Opel Vivaro (MY20.0) M Incrementada 1.400 kg 2.0 Diesel MT6 150 CV,C,6.7,7.8,177.0,205.0,Gasóleo,,
7816 AAA,Opel Vivaro (MY20.0) M Sta0ard 1.000 kg 1.5 Diesel MT6 100 CV,B,6.1,7.0,160.0,183.0,Gasóleo,,
7817 AAA,Opel Vivaro (MY20.0) M Sta0ard 1.000 kg 1.5 Diesel MT6 120 CV,B,6.0,7.0,157.0,185.0,Gasóleo,,
7818 AAA,Opel Vivaro (MY20.0) M Sta0ard 1.000 kg 2.0 Diesel MT6 150 CV,C,6.7,7.8,177.0,205.0,Gasóleo,,
7819 AAA,Opel Vivaro (MY20.0) S Sta0ard 1.000 kg 1.5 Diesel MT6 100 CV,C,6.1,7.0,160.0,183.0,Gasóleo,,
7820 AAA,Opel Vivaro (MY20.0) S Sta0ard 1.000 kg 1.5 Diesel MT6 120 CV,C,6.0,7.0,157.0,185.0,Gasóleo,,
7821 AAA,Opel Vivaro (MY20.0) S Sta0ard 1.000 kg 2.0 Diesel MT6 150 CV,D,6.7,7.8,177.0,205.0,Gasóleo,,
7904 AAA,Opel Vivaro Combi (MY22.0) Combi L 1.5 Diesel 120CV MT6,C,6.0,7.0,157.0,185.0,Gasóleo,,
7905 AAA,Opel Vivaro Combi (MY22.0) Combi L 2.0 Diesel MT6,D,7.1,7.8,177.0,205.0,Gasóleo,,
7906 AAA,Opel Vivaro Combi (MY22.0) Combi M 1.5 Diesel 120 CV MT6,D,5.8,8.1,159.0,186.0,Gasóleo,,
7907 AAA,Opel Vivaro Combi (MY22.0) Combi M 2.0 Diesel 145CV MT6,E,7.1,7.8,176.0,205.0,Gasóleo,,
7908 AAA,Opel Vivaro Combi Nuevo Vivaro Combi 180Cv 2.0 Td S/S AT8 6.4,E,6.9,7.9,181.0,208.0,Gasóleo,,
7909 AAA,Opel Vivaro Combi Nuevo Vivaro Combi XL 180Cv 2.0 Td S/S AT8 6.4,D,6.9,7.9,181.0,208.0,Gasóleo,,
7910 AAA,Opel Vivaro Doble cabina (MY22.0) Express L 2.0 Diesel 145CV MT6,D,7.3,8.5,184.0,206.0,Gasóleo,,
7911 AAA,Opel Vivaro Doble cabina (MY22.0) Express M 1.5 Diesel 120CV MT6,D,5.8,7.7,159.0,177.0,Gasóleo,,
7912 AAA,Opel Vivaro Doble cabina (MY22.0) Innovation L 2.0 Diesel 145CV MT6,D,7.3,7.6,182.0,201.0,Gasóleo,,
7913 AAA,Opel Vivaro Doble cabina (MY22.0) Innovation L 2.0 Diesel 180CV AT8,E,8.1,8.3,188.0,204.0,Gasóleo,,
7914 AAA,Opel Vivaro Doble cabina (MY22.0) Innovation M 2.0 Diesel 145CV MT6,F,7.3,8.5,182.0,201.0,Gasóleo,,
7915 AAA,Opel Vivaro Doble cabina (MY22.0) Innovation M 2.0 Diesel 180CV AT8,F,8.1,8.3,188.0,204.0,Gasóleo,,
7916 AAA,Opel Vivaro Doble cabina (MY22.0) Select L 2.0 Diesel 145 MT6,D,7.3,7.6,182.0,201.0,Gasóleo,,
7917 AAA,Opel Vivaro Doble cabina (MY22.0) Select L 2.0 Diesel 145CV AT8,E,8.1,8.3,188.0,204.0,Gasóleo,,
7918 AAA,Opel Vivaro Doble cabina (MY22.0) Select M 2.0 Diesel 145CV AT8,F,8.1,8.3,188.0,204.0,Gasóleo,,
7919 AAA,Opel Vivaro Doble cabina (MY22.0) Select M 2.0 Diesel 145CV MT6,F,7.3,8.5,182.0,201.0,Gasóleo,,
7942 AAA,Opel Zafira Nuevo Zafira 180Cv 2.0 Td S/S AT8 6.4,E,6.9,7.9,181.0,208.0,Gasóleo,,
7943 AAA,Opel Zafira Nuevo Zafira 180Cv 2.0 Td S/S AT8 6.4 PMR,E,6.9,7.9,181.0,208.0,Gasóleo,,
7944 AAA,Opel Zafira Nuevo Zafira 2.0 Diesel 180 CV AT8 PMR,E,6.9,7.9,181.0,208.0,Gasóleo,,
7945 AAA,Opel Zafira Nuevo Zafira GS 180Cv 2.0 Td S/S AT8 6.4,E,6.9,7.9,181.0,208.0,Gasóleo,,
7946 AAA,Opel Zafira Nuevo Zafira XL 180Cv 2.0 Td S/S AT8 6.4,D,6.9,7.9,181.0,208.0,Gasóleo,,
7947 AAA,Opel Zafira Nuevo Zafira XL 180Cv 2.0 Td S/S AT8 6.4 PMR,D,6.9,7.9,181.0,208.0,Gasóleo,,
7948 AAA,Opel Zafira Nuevo Zafira XL 2.0 Diesel 180 CV AT8 PMR,D,6.9,7.9,181.0,208.0,Gasóleo,,
7949 AAA,Opel Zafira Nuevo Zafira XL GS 180Cv 2.0 Td S/S AT8 6.4,D,6.9,7.9,181.0,208.0,Gasóleo,,
7950 AAA,Opel Zafira Life (MY20.0) L Business 1.5 Diesel MT6 120 CV,A,6.0,7.0,157.0,185.0,Gasóleo,,
7951 AAA,Opel Zafira Life (MY20.0) L Business 2.0 Diesel AT8 180 CV,B,7.0,7.9,183.0,209.0,Gasóleo,,
7952 AAA,Opel Zafira Life (MY20.0) L Business 2.0 Diesel MT6 150 CV,B,6.7,7.8,177.0,205.0,Gasóleo,,
7953 AAA,Opel Zafira Life (MY20.0) L Business Innovation 2.0 Diesel AT8 180 CV,B,7.0,7.9,183.0,209.0,Gasóleo,,
7954 AAA,Opel Zafira Life (MY20.0) L Business Innovation 2.0 Diesel MT6 150 CV,B,6.7,7.8,177.0,205.0,Gasóleo,,
7955 AAA,Opel Zafira Life (MY20.0) L Innovation 2.0 Diesel AT8 180 CV,B,7.0,7.9,183.0,209.0,Gasóleo,,
7956 AAA,Opel Zafira Life (MY20.0) L Innovation 2.0 Diesel MT6 150 CV,B,6.7,7.8,177.0,205.0,Gasóleo,,
7957 AAA,Opel Zafira Life (MY20.0) L Selective 1.5 Diesel MT6 120 CV,A,6.0,7.0,157.0,185.0,Gasóleo,,
7958 AAA,Opel Zafira Life (MY20.0) L Selective 2.0 Diesel AT8 180 CV,B,7.0,7.9,183.0,209.0,Gasóleo,,
7959 AAA,Opel Zafira Life (MY20.0) L Selective 2.0 Diesel MT6 150 CV,B,6.7,7.8,177.0,205.0,Gasóleo,,
7960 AAA,Opel Zafira Life (MY20.0) M Business 1.5 Diesel MT6 120 CV,B,6.0,7.0,157.0,185.0,Gasóleo,,
7961 AAA,Opel Zafira Life (MY20.0) M Business 2.0 Diesel AT8 180 CV,C,7.0,7.9,183.0,209.0,Gasóleo,,
7962 AAA,Opel Zafira Life (MY20.0) M Business 2.0 Diesel MT6 150 CV,C,6.7,7.8,177.0,205.0,Gasóleo,,
7963 AAA,Opel Zafira Life (MY20.0) M Business Innovation 2.0 Diesel AT8 180 CV,C,7.0,7.9,183.0,209.0,Gasóleo,,
7964 AAA,Opel Zafira Life (MY20.0) M Business Innovation 2.0 Diesel MT6 150 CV,C,6.7,7.8,177.0,205.0,Gasóleo,,
7965 AAA,Opel Zafira Life (MY20.0) M Innovation 2.0 Diesel AT8 180 CV,C,7.0,7.9,183.0,209.0,Gasóleo,,
7966 AAA,Opel Zafira Life (MY20.0) M Innovation 2.0 Diesel MT6 150 CV,C,6.7,7.8,177.0,205.0,Gasóleo,,
7967 AAA,Opel Zafira Life (MY20.0) M Selective 1.5 Diesel MT6 120 CV,B,6.0,7.0,157.0,185.0,Gasóleo,,
7968 AAA,Opel Zafira Life (MY20.0) M Selective 2.0 Diesel AT8 180 CV,C,7.0,7.9,183.0,209.0,Gasóleo,,
7969 AAA,Opel Zafira Life (MY20.0) M Selective 2.0 Diesel MT6 150 CV,C,6.7,7.8,177.0,205.0,Gasóleo,,
7970 AAA,Opel Zafira Life (MY20.0) S Business 1.5 Diesel MT6 120 CV,C,6.0,7.0,157.0,185.0,Gasóleo,,
7971 AAA,Opel Zafira Life (MY20.0) S Business 2.0 Diesel AT8 180 CV,D,7.0,7.9,183.0,209.0,Gasóleo,,
7972 AAA,Opel Zafira Life (MY20.0) S Business 2.0 Diesel MT6 150 CV,D,6.7,7.8,177.0,205.0,Gasóleo,,
7973 AAA,Opel Zafira Life (MY20.0) S Innovation 2.0 Diesel AT8 180 CV,D,7.0,7.9,183.0,209.0,Gasóleo,,
7974 AAA,Opel Zafira Life (MY20.0) S Innovation 2.0 Diesel MT6 150 CV,D,6.7,7.8,177.0,205.0,Gasóleo,,
7975 AAA,Opel Zafira Life (MY20.0) S Selective 1.5 Diesel MT6 120 CV,C,6.0,7.0,157.0,185.0,Gasóleo,,
7976 AAA,Opel Zafira Life (MY20.0) S Selective 2.0 Diesel AT8 180 CV,D,7.0,7.9,183.0,209.0,Gasóleo,,
7977 AAA,Opel Zafira Life (MY20.0) S Selective 2.0 Diesel MT6 150 CV,D,6.7,7.8,177.0,205.0,Gasóleo,,
7978 AAA,Opel Zafira Life (MY21.0) Business Edition L 1.5 Diesel 120 CV MT6,C,6.3,6.6,164.0,172.0,Gasóleo,,
7979 AAA,Opel Zafira Life (MY21.0) Business Edition L 2.0 Diesel 145 CV AT8,C,6.9,7.2,182.0,190.0,Gasóleo,,
7980 AAA,Opel Zafira Life (MY21.0) Business Edition L 2.0 Diesel 145 CV MT6,C,6.8,7.2,180.0,190.0,Gasóleo,,
7981 AAA,Opel Zafira Life (MY21.0) Business Edition M 1.5 Diesel 120 CV MT6,C,6.3,6.6,164.0,172.0,Gasóleo,,
7982 AAA,Opel Zafira Life (MY21.0) Business Edition M 2.0 Diesel 145 CV AT8,D,6.9,7.2,182.0,190.0,Gasóleo,,
7983 AAA,Opel Zafira Life (MY21.0) Business Edition M 2.0 Diesel 145 CV MT6,D,6.8,7.2,180.0,190.0,Gasóleo,,
7984 AAA,Opel Zafira Life (MY21.0) Business Elegance L 2.0 Diesel 145 CV AT8,D,7.2,7.7,188.0,202.0,Gasóleo,,
7985 AAA,Opel Zafira Life (MY21.0) Business Elegance L 2.0 Diesel 145 CV MT6,D,7.1,7.6,186.0,200.0,Gasóleo,,
7986 AAA,Opel Zafira Life (MY21.0) Business Elegance M 2.0 Diesel 145 CV AT8,E,7.2,7.7,188.0,202.0,Gasóleo,,
7987 AAA,Opel Zafira Life (MY21.0) Business Elegance M 2.0 Diesel 145 CV MT6,E,7.1,7.6,186.0,200.0,Gasóleo,,
7988 AAA,Opel Zafira Life (MY21.0) Edition L 1.5 Diesel 120 CV MT6,C,6.3,6.8,165.0,178.0,Gasóleo,,
7989 AAA,Opel Zafira Life (MY21.0) Edition L 2.0 Diesel 145 CV AT8,D,7.0,7.5,183.0,196.0,Gasóleo,,
7990 AAA,Opel Zafira Life (MY21.0) Edition L 2.0 Diesel 145 CV MT6,C,6.9,7.4,181.0,195.0,Gasóleo,,
7991 AAA,Opel Zafira Life (MY21.0) Edition M 1.5 Diesel 120 CV MT6,D,6.3,6.8,165.0,178.0,Gasóleo,,
7992 AAA,Opel Zafira Life (MY21.0) Edition M 2.0 Diesel 145 CV AT8,E,7.0,7.5,183.0,196.0,Gasóleo,,
7993 AAA,Opel Zafira Life (MY21.0) Edition M 2.0 Diesel 145 CV MT6,D,6.9,7.4,181.0,195.0,Gasóleo,,
7994 AAA,Opel Zafira Life (MY21.0) Edition S 1.5 Diesel 120 CV MT6,E,6.3,6.8,165.0,178.0,Gasóleo,,
7995 AAA,Opel Zafira Life (MY21.0) Edition S 2.0 Diesel 145 CV MT6,F,6.9,7.4,181.0,195.0,Gasóleo,,
7996 AAA,Opel Zafira Life (MY21.0) Elegance L 2.0 Diesel 145 CV AT8,D,7.1,7.7,186.0,202.0,Gasóleo,,
7997 AAA,Opel Zafira Life (MY21.0) Elegance L 2.0 Diesel 145 CV MT6,D,7.0,7.6,185.0,200.0,Gasóleo,,
7998 AAA,Opel Zafira Life (MY21.0) Elegance M 2.0 Diesel 145 CV AT8,E,7.1,7.7,186.0,202.0,Gasóleo,,
7999 AAA,Opel Zafira Life (MY21.0) Elegance M 2.0 Diesel 145 CV MT6,E,7.0,7.6,185.0,200.0,Gasóleo,,
8000 AAA,Peugeot 2008 2008 Allure BlueHDi 100 S&S 5 Vel.MAN,D,4.2,5.1,111.0,133.0,Gasóleo,,
8001 AAA,Peugeot 2008 2008 Allure BlueHDi 120 S&S EAT6,D,4.9,5.3,127.0,140.0,Gasóleo,,
8002 AAA,Peugeot 2008 2008 GT Line BlueHDi 100 S&S 5 Vel.MAN,D,4.2,5.1,111.0,133.0,Gasóleo,,
8003 AAA,Peugeot 2008 2008 GT Line BlueHDi 120 S&S EAT6,D,4.9,5.3,127.0,140.0,Gasóleo,,
8004 AAA,Peugeot 2008 2008 Signature BlueHDi 100 S&S 5 Vel. MAN,D,4.2,5.1,111.0,133.0,Gasóleo,,
8005 AAA,Peugeot 2008 2008 Style BlueHDi 100 S&S 5 Vel. MAN,D,4.2,5.1,111.0,133.0,Gasóleo,,
8006 AAA,Peugeot 208 208 5P Active BlueHDi 100 S&S 5vel MAN,D,4.2,5.1,111.0,133.0,Gasóleo,,
8007 AAA,Peugeot 208 208 5P Active BlueHDi 100 S&S 5vel MAN,D,4.2,5.1,111.0,133.0,Gasóleo,,
8008 AAA,Peugeot 208 208 5P GT Line BlueHDi 100 S&S 5vel MAN,D,4.2,5.1,111.0,133.0,Gasóleo,,
8009 AAA,Peugeot 208 208 5P Signature BlueHDi 100 S&S 5vel MAN,D,4.2,5.1,111.0,133.0,Gasóleo,,
8010 AAA,Peugeot 208 208 5P Tech Edition BlueHDi 100 S&S 5vel MAN,D,4.2,5.1,111.0,133.0,Gasóleo,,
8011 AAA,Peugeot 208 208 5P Tech Edition PureTech 110 S&S EAT6,G,6.3,7.2,142.0,163.0,Gasóleo,,
8012 AAA,Peugeot 208 208 5P Tech Edition PureTech 110 S&S MAN 6 Vel.,G,5.7,6.1,128.0,137.0,Gasóleo,,
8013 AAA,Peugeot 208 208 5P Tech Edition PureTech 82 S&S MAN 5 Vel.,F,5.5,6.1,123.0,136.0,Gasóleo,,
8015 AAA,Peugeot 3008 3008 Active BlueHDi 130 S&S 6vel MAN.,D,5.1,5.9,134.0,154.0,Gasóleo,,
8016 AAA,Peugeot 3008 3008 Active BlueHDi 130 S&S 6vel MAN.,C,4.6,5.6,122.0,148.0,Gasóleo,,
8017 AAA,Peugeot 3008 3008 Active BlueHDi 130 S&S EAT8,D,5.0,5.9,132.0,154.0,Gasóleo,,
8018 AAA,Peugeot 3008 3008 Active Pack BlueHDi 130 S&S 6vel MAN.,C,4.6,5.6,122.0,148.0,Gasóleo,,
8019 AAA,Peugeot 3008 3008 Active Pack BlueHDi 130 S&S EAT8,D,4.9,6.0,128.0,157.0,Gasóleo,,
8020 AAA,Peugeot 3008 3008 Allure BlueHDi 130 S&S 6vel MAN.,C,4.6,5.6,122.0,148.0,Gasóleo,,
8021 AAA,Peugeot 3008 3008 Allure BlueHDi 130 S&S 6vel MAN.,D,5.1,5.9,134.0,154.0,Gasóleo,,
8022 AAA,Peugeot 3008 3008 Allure BlueHDi 130 S&S 6vel MAN.,D,4.9,5.9,129.0,154.0,Gasóleo,,
8023 AAA,Peugeot 3008 3008 Allure BlueHDi 130 S&S EAT8,D,4.8,5.9,126.0,156.0,Gasóleo,,
8024 AAA,Peugeot 3008 3008 Allure BlueHDi 130 S&S EAT8,D,5.0,5.9,132.0,154.0,Gasóleo,,
8025 AAA,Peugeot 3008 3008 Allure BlueHDi 130 S&S EAT8,D,4.9,6.0,128.0,157.0,Gasóleo,,
8026 AAA,Peugeot 3008 3008 Allure Pack BlueHDi 130 S&S 6vel MAN.,C,4.6,5.6,122.0,148.0,Gasóleo,,
8027 AAA,Peugeot 3008 3008 Allure Pack BlueHDi 130 S&S EAT8,D,4.9,6.0,128.0,157.0,Gasóleo,,
8028 AAA,Peugeot 3008 3008 GT BlueHDi 130 S&S 6vel MAN.,C,4.6,5.6,122.0,148.0,Gasóleo,,
8029 AAA,Peugeot 3008 3008 GT BlueHDi 130 S&S EAT8,D,4.9,6.0,128.0,157.0,Gasóleo,,
8030 AAA,Peugeot 3008 3008 GT BlueHDi 180 S&S EAT8,E,6.0,6.7,157.0,175.0,Gasóleo,,
8031 AAA,Peugeot 3008 3008 GT BlueHDi 180 S&S EAT8,E,6.0,6.8,157.0,178.0,Gasóleo,,
8032 AAA,Peugeot 3008 3008 GT Line BlueHDi 130 S&S 6vel MAN,D,4.9,5.9,129.0,154.0,Gasóleo,,
8033 AAA,Peugeot 3008 3008 GT Line BlueHDi 130 S&S 6vel MAN,D,5.1,5.9,134.0,154.0,Gasóleo,,
8034 AAA,Peugeot 3008 3008 GT Line BlueHDi 130 S&S 6vel MAN,D,5.0,5.7,125.0,154.0,Gasóleo,,
8035 AAA,Peugeot 3008 3008 GT Line BlueHDi 130 S&S EAT8,D,5.0,5.9,132.0,154.0,Gasóleo,,
8036 AAA,Peugeot 3008 3008 GT Line BlueHDi 130 S&S EAT8,D,4.8,5.9,126.0,156.0,Gasóleo,,
8037 AAA,Peugeot 3008 3008 Roadtrip BlueHDi 130 S&S 6 Vel. MAN,C,4.6,5.6,122.0,148.0,Gasóleo,,
8038 AAA,Peugeot 3008 3008 Roadtrip BlueHDI 130 S&S EAT8,D,4.9,5.9,128.0,154.0,Gasóleo,,
8039 AAA,Peugeot 3008 3008 Style BlueHDi 130 S&S 6vel MAN.,D,4.9,5.9,129.0,154.0,Gasóleo,,
8040 AAA,Peugeot 3008 3008 Style BlueHDi 130 S&S EAT8,D,4.8,5.9,126.0,156.0,Gasóleo,,
8041 AAA,Peugeot 308 308 5P Access BlueHDi 100 6 Vel. MAN,C,4.4,5.1,116.0,135.0,Gasóleo,,
8042 AAA,Peugeot 308 308 5P Access BlueHDi 100 S&s 6 Vel. MAN,C,4.4,5.1,115.0,135.0,Gasóleo,,
8043 AAA,Peugeot 308 308 5P Active BlueHDi 100 S&s 6 Vel. MAN,C,4.4,5.1,115.0,135.0,Gasóleo,,
8044 AAA,Peugeot 308 308 5p Active BlueHDi 130 S&S 6vel MAN,C,4.3,5.3,113.0,138.0,Gasóleo,,
8045 AAA,Peugeot 308 308 5P Active Pack BlueHDi 100 S&s 6 Vel. MAN,C,4.4,5.1,115.0,135.0,Gasóleo,,
8046 AAA,Peugeot 308 308 5p Active Pack BlueHDi 130 S&S 6vel MAN,C,4.3,5.3,113.0,138.0,Gasóleo,,
